item_id,title,category,brand,price,desc_text,tags
P101,Wireless Noise-Canceling Headphones,Electronics,StandardBrand,199.99,This is product text details for Wireless Noise-Canceling Headphones under Electronics.,"wireless, audio, noise-canceling, bluetooth, premium"
P102,Mechanical Gaming Keyboard,Electronics,StandardBrand,89.99,This is product text details for Mechanical Gaming Keyboard under Electronics.,"gaming, keyboard, rgb, wired, mechanical"
P103,Ergonomic Wireless Mouse,Electronics,StandardBrand,49.99,This is product text details for Ergonomic Wireless Mouse under Electronics.,"wireless, mouse, ergonomic, bluetooth, office"
P104,Ultra-Wide Gaming Monitor 34-inch,Electronics,StandardBrand,449.99,This is product text details for Ultra-Wide Gaming Monitor 34-inch under Electronics.,"gaming, monitor, ultrawide, display, 4k"
P105,USB-C Portable Power Bank,Electronics,StandardBrand,29.99,This is product text details for USB-C Portable Power Bank under Electronics.,"portable, power, usb-c, charger, travel"
P201,Slim-Fit Denim Jeans,Fashion,StandardBrand,59.99,This is product text details for Slim-Fit Denim Jeans under Fashion.,"denim, jeans, slim-fit, casual, apparel"
P202,Water-Resistant Windbreaker Jacket,Fashion,StandardBrand,79.99,This is product text details for Water-Resistant Windbreaker Jacket under Fashion.,"jacket, water-resistant, windbreaker, outerwear, travel"
P203,Classic White Leather Sneakers,Fashion,StandardBrand,69.99,This is product text details for Classic White Leather Sneakers under Fashion.,"sneakers, leather, casual, footwear, white"
P204,Runners Athletic Sports Shoes,Fashion,StandardBrand,89.99,This is product text details for Runners Athletic Sports Shoes under Fashion.,"shoes, running, athletic, footwear, breathable"
P205,Stainless Steel Minimalist Watch,Fashion,StandardBrand,129.99,This is product text details for Stainless Steel Minimalist Watch under Fashion.,"watch, minimalist, accessory, steel, analog"
P301,Data Structures & Algorithms Made Easy,Books,StandardBrand,34.99,This is product text details for Data Structures & Algorithms Made Easy under Books.,"dsa, programming, education, textbook, algorithms"
P302,The Pragmatic Programmer,Books,StandardBrand,39.99,This is product text details for The Pragmatic Programmer under Books.,"programming, career, best-seller, software, development"
P303,Introduction to Artificial Intelligence,Books,StandardBrand,49.99,This is product text details for Introduction to Artificial Intelligence under Books.,"ai, machine-learning, textbook, python, education"
P304,Atomic Habits,Books,StandardBrand,16.99,This is product text details for Atomic Habits under Books.,"self-help, best-seller, habits, productivity, psychology"
P401,Programmable Espresso Machine,Home & Kitchen,StandardBrand,249.99,This is product text details for Programmable Espresso Machine under Home & Kitchen.,"espresso, coffee, machine, kitchen, premium"
P402,High-Speed Countertop Blender,Home & Kitchen,StandardBrand,99.99,This is product text details for High-Speed Countertop Blender under Home & Kitchen.,"blender, smoothie, juicer, kitchen, appliance"
P403,Electric Gooseneck Kettle,Home & Kitchen,StandardBrand,54.99,This is product text details for Electric Gooseneck Kettle under Home & Kitchen.,"kettle, electric, tea, coffee, kitchen"
